hb,cancer_site_icd10code,cancer_site,sex,sex_qf,year,incidences_all_ages,crude_rate,crude_rate_lower95pc_confidence_interval,crude_rate_upper95pc_confidence_interval,easr,easr_lower95pc_confidence_interval,easr_lower95pc_confidence_interval_qf,easr_upper95pc_confidence_interval,easr_upper95pc_confidence_interval_qf,wasr,wasr_lower95pc_confidence_interval,wasr_lower95pc_confidence_interval_qf,wasr_upper95pc_confidence_interval,wasr_upper95pc_confidence_interval_qf,standardised_incidence_ratio,sir_lower95pc_confidence_interval,sir_upper95pc_confidence_interval
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1994,518,491.228070175439,449.830774352406,535.410655206254,525.313558017917,478.409681604139,NA,574.379376137688,NA,239.866410300081,216.790204861094,NA,264.092932726437,NA,82.7235274429981,75.7521621139372,90.163939559500193
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1995,587,554.087219180668,510.164208231969,600.780204563992,608.065333388402,557.74924830423,NA,660.523307961687,NA,274.652798116952,250.317757124856,NA,300.100521422639,NA,93.1844012922892,85.7975868404751,101.037060110027
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1996,717,677.309654260344,628.633861141655,728.753920624133,757.47269940562,699.299340182588,NA,817.937177620403,NA,328.859731393667,302.291688257815,NA,356.530825935987,NA,107.71286142866,99.9719279779929,115.8940664348
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1997,617,582.295205738014,537.249403339822,630.109531542824,619.007118209939,569.92435114038,NA,670.0883719836,NA,277.320823404275,252.859068822919,NA,302.895827120563,NA,96.5364977334606,89.0685262333286,104.46345215314
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1998,572,539.419087136929,496.113448348828,585.492578916121,577.143627845476,529.356682218446,NA,626.966114530385,NA,258.220577058586,234.687463116901,NA,282.861964540243,NA,91.01913480265,83.7119373590258,98.7933672298656
S08000016,"C00-C97, excluding C44",All cancer types,All,d,1999,637,602.022493148096,556.172954065211,650.643897390014,636.242188431226,586.20644150411,NA,688.297824972607,NA,295.904712776229,270.606963972894,NA,322.316715166714,NA,101.004078891302,93.3116911227963,109.161515209297
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2000,599,563.764705882353,519.515266372772,610.775659452618,590.37530559175,542.635293765163,NA,640.099295039808,NA,267.960996970076,243.813989342686,NA,293.231825377326,NA,93.5733150441445,86.2288206113538,101.376163862201
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2001,616,575.970079476391,531.378159699941,623.304924945612,605.61246359008,557.395739372167,NA,655.80076492119,NA,279.780320855617,255.499648684032,NA,305.147357573482,NA,95.8052842011758,88.3879864985892,103.678832644734
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2002,697,648.191202455129,600.956972790382,698.151388909997,659.564203553774,610.283337562165,NA,710.731278359371,NA,318.145163481606,292.169725607516,NA,345.211001996852,NA,105.753536381412,98.0471886149216,113.904628799614
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2003,615,567.395516191531,523.432464140214,614.06508243415,591.338681602505,543.601906123449,NA,641.055789876442,NA,261.401172565406,237.638417793686,NA,286.280050126184,NA,91.1086007359152,84.0493060425755,98.6024894889625
